collectionDate,specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,collectionInstitution,CtepStudyID,SpecimenCount
2013-01-22,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Philadelphia,AALL0932,2
2007-08-13,DNA,Frozen,Bone Marrow,Not Specified,Therapeutic Relapse,Southern Illinois University,AALL02P2,1
2012-08-08,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Dell Children's Medical Center of Central Texas,AALL0932,5
2011-12-21,Cell Slide,Fixed-Other,Not Specified,Not Specified,Other/Not Specified,Kaiser Permanente-Oakland,ANBL00B1,12
2012-08-14,Tissue,Frozen,Not Specified,Metastatic,Therapeutic Relapse,Rocky Mountain Hospital for Children-Presbyterian Saint Luke's Medical Center,ABTR01B1,3
2010-03-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Sutter General Hospital,AALL03B1,16
2010-06-21,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,The Toledo Hospital/Toledo Children's Hospital,AALL03B1,1
2007-11-28,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Albany Medical Center,AALL0232,20
2011-04-05,Whole Blood,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Cincinnati Children's Hospital Medical Center,D9902,1
2008-01-23,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,British Columbia Children's Hospital,AALL03B1,1
2015-03-30,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Rady Children's Hospital - San Diego,AALL08B1,2
2012-11-21,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Hospital for Sick Children,AALL0932,2
2009-02-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,St. Jude Children's Research Hospital,ACNS0221,10
2006-10-25,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,AALL03B1,4
2007-09-04,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Texas Health Science Center at San Antonio,AALL03B1,1
2006-03-10,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,AALL03B1,3
2014-01-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Baylor College of Medicine,AALL1131,2
2012-06-06,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Baylor College of Medicine,AALL08B1,1
2014-04-10,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Providence Sacred Heart Medical Center and Children's Hospital,ANBL00B1,1
2014-11-24,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,City of Hope Comprehensive Cancer Center,AALL1131,2
2015-01-15,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,University of Minnesota Medical Center-Fairview,AALL0932,2
2003-12-04,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,UCSF Medical Center-Mission Bay,CCG-B947,1
2007-05-19,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital of Eastern Ontario,AHOD0031,6
2012-04-27,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Baylor College of Medicine,AALL08B1,4
2010-01-20,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Cook Children's Medical Center,AOST0331,48
2007-02-02,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,All Children's Hospital,AALL03B1,1
2006-11-16,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital,AALL03B1,1
2010-10-20,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Phoenix Childrens Hospital,AOST0331,9
2012-07-09,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Midwest Children's Cancer Center,AREN03B2,3
2012-01-23,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Children's Hospital Los Angeles,AREN03B2,2
2007-11-01,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,San Jorge Children's Hospital,ANBL00B1,1
2006-03-06,RNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Pittsburgh of UPMC,AALL0232,1
2003-08-26,Serum,Frozen,Blood,Not Specified,Other/Not Specified,Riley Hospital for Children,P9851,3
2008-09-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Dana-Farber Cancer Institute,D9902,13
2010-02-10,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,British Columbia Children's Hospital,AALL03B1,2
2011-12-21,DNA,Frozen,Not Specified,Not Specified,Pre-Therapy,Mary Bridge Children's Hospital and Health Center,AREN03B2,4
2013-06-03,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Palmetto Health Richland,AALL08B1,1
2008-03-11,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Children's Hospital New Orleans,ABTR01B1,6
2012-11-21,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital of Alabama,AALL1131,1
2004-11-23,DNA,Frozen,Not Specified,Not Specified,Pre-Therapy,UCSF Medical Center-Mission Bay,CCG-1991,1
2014-01-08,Cell Slide,Fixed-Other,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospital Los Angeles,AAML1031,6
1996-11-26,Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Sanford Medical Center-Fargo,CCG-B947,1
2014-08-12,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,ANBL00B1,1
2011-01-03,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Childrens Hospital of Orange County,AALL0932,2
2006-06-14,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,MedStar Georgetown University Hospital,AOST0331,20
2010-04-28,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Women's and Children's Hospital-Adelaide,AALL03B1,1
2007-04-20,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Beaumont Children's Hospital-Royal Oak,AALL03B1,1
2013-07-25,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospital Los Angeles,AREN03B2,1
2014-08-12,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Providence Sacred Heart Medical Center and Children's Hospital,AALL0932,2
2014-04-16,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Saint Vincent Hospital and Health Services,AALL0932,3
1996-04-12,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Princess Margaret Hospital for Children,CCG-B947,2
2014-01-02,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,The Childrens Mercy Hospital,AALL0932,2
2013-07-02,Tissue Slide,None,Not Specified,Non-Malignant,Pre-Therapy,Centre Hospitalier Universitaire Sainte-Justine,AREN03B2,1
2003-11-08,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Methodist Children's Hospital of South Texas,CCG-1991,1
2013-11-19,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Children's Hospital of Alabama,ANBL00B1,1
2012-09-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Oklahoma Health Sciences Center,AALL08B1,2
2010-10-29,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,T C Thompson Children's Hospital,AALL03B1,1
2006-12-05,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital,AALL0331,1
2013-08-07,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Saint Luke's Mountain States Tumor Institute,AALL08B1,1
2011-07-21,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,University of Texas Health Science Center at San Antonio,AALL0932,3
2014-02-07,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Women's and Children's Hospital-Adelaide,AOST06B1,12
2007-06-20,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Lurie Children's Hospital-Chicago,AALL03B1,2
2002-03-22,Tissue,Frozen,Adrenal,Malignant,Other/Not Specified,Children's Hospitals and Clinics of Minnesota - Minneapolis,ANBL00B1,1
2011-05-20,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Minnesota Medical Center-Fairview,AOST0331,4
2002-11-05,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,The Montreal Children's Hospital of the MUHC,A5971,7
2005-12-22,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Maimonides Medical Center,AALL03B1,2
2012-04-18,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Kaiser Permanente-Oakland,AOST06B1,4
1999-06-16,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Newark Beth Israel Medical Center,CCG-B944,3
2004-02-19,Tissue Slide,Fixed-Formalin,Ovary,Malignant,Other/Not Specified,Kosair Children's Hospital,CCG-B947,1
2015-01-08,Tissue Slide,Fixed-Formalin,Other,Malignant,Pre-Therapy,Lurie Children's Hospital-Chicago,ANBL00B1,10
2012-05-02,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's National Medical Center,AALL1131,1
2010-07-19,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Cardinal Glennon Children's Medical Center,ACNS02B3,2
2006-12-04,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital of Eastern Ontario,AHOD0031,3
2012-07-02,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Saint John's Mercy Medical Center,AALL0434,2
2012-03-13,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Southern Illinois University,AALL08B1,6
2013-01-04,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,BI-LO Charities Children's Cancer Center,AALL08B1,1
2011-10-01,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Children's Hospital Colorado,D9902,1
2010-09-24,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Cincinnati Children's Hospital Medical Center,AALL03B1,20
2003-05-15,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,C S Mott Children's Hospital,CCG-B947,3
2010-04-01,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Mayo Clinic,AALL0434,1
2008-01-16,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Florida,AALL0232,1
2002-02-14,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Maimonides Medical Center,ANBL00B1,44
2006-10-30,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Wayne State University/Karmanos Cancer Institute,ANBL00B1,3
2012-03-02,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Healthcare of Atlanta - Egleston,AALL08B1,6
2013-06-26,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Hospital for Sick Children,AALL0932,6
2012-09-07,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,AREN03B2,2
2010-02-09,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital of Philadelphia,AALL03B1,2
2009-06-24,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Loma Linda University Medical Center,AREN03B2,5
2014-07-03,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Loma Linda University Medical Center,AALL1131,2
2010-04-21,Serum,Frozen,Blood,Not Specified,Other/Not Specified,Dana-Farber Cancer Institute,ARST0531,5
2012-05-14,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,All Children's Hospital,ACCL1131,3
2013-12-06,Tissue Slide,Fixed-Formalin,Not Specified,Non-Malignant,Post-Therapy,Children's Hospital and Research Center at Oakland,ACNS0831,4
2013-06-13,Tissue,Frozen,Not Specified,Malignant,Post-Therapy,Walter Reed National Military Medical Center,ANBL00B1,4
2013-01-31,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital Los Angeles,AALL05B1,2
2007-08-16,***,***,Bone Marrow,***,Pre-Therapy,Bronson Methodist Hospital,ACCL1131,1
2013-03-20,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Post-Therapy,Dana-Farber Cancer Institute,ABTR01B1,18
2009-04-22,Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Sinai Hospital of Baltimore,AOST0331,2
2002-05-09,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital of Pittsburgh of UPMC,ANBL00B1,28
2012-01-19,Urine,Frozen,Fluid,Not Specified,Pre-Therapy,Naval Medical Center - Portsmouth,AREN03B2,5
2001-10-26,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Children's Hospital Medical Center of Akron,P9851,1
2011-11-09,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospital and Research Center at Oakland,AEWS07B1,1
2002-04-29,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Wake Forest University Health Sciences,ANBL00B1,44
2011-08-26,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Washington University School of Medicine,ANHL04B1,1
2007-11-27,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Rady Children's Hospital - San Diego,AALL03B1,1
2013-09-27,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Saint Luke's Mountain States Tumor Institute,AALL1131,2
2009-01-05,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Medical University of South Carolina,ANBL0532,5
1997-03-19,Tissue,Frozen,Lymph Node,Malignant,Other/Not Specified,University of Iowa/Holden Comprehensive Cancer Center,CCG-B947,1
2011-03-11,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Miller Children's and Women's Hospital Long Beach,AALL08B1,1
2001-01-02,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,British Columbia Children's Hospital,P9851,192
2010-06-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Sinai Hospital of Baltimore,AALL0331,2
2005-11-18,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,West Virginia University Charleston,AALL03B1,1
2009-08-26,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Cook Children's Medical Center,ACNS0331,1
2013-05-13,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Alberta Children's Hospital,AALL08B1,1
2015-01-12,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Alberta Children's Hospital,AALL08B1,1
2015-01-12,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Cardinal Glennon Children's Medical Center,AALL08B1,2
2012-10-23,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,East Tennessee Childrens Hospital,AALL08B1,1
2010-05-26,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Connecticut Children's Medical Center,AALL0331,4
2013-01-30,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,New York Medical College,AALL1131,1
2013-01-29,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Dell Children's Medical Center of Central Texas,AEWS07B1,5
2001-03-30,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Bronson Methodist Hospital,CCG-5961,13
2013-02-04,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Mary Bridge Children's Hospital and Health Center,AREN03B2,6
2007-02-01,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Sinai Hospital of Baltimore,AALL03B1,1
2007-12-06,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Eastern Ontario,AALL0232,1
2012-01-10,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital New Orleans,AALL08B1,1
2007-11-09,RNA,Frozen,Not Specified,Not Specified,Pre-Therapy,Vanderbilt-Ingram Cancer Center,AALL03B1,1
2004-04-30,Biofluid, Other,None,Fluid,Not Specified,Pre-Therapy,Loyola University Medical Center,AALL03B1,1
2004-08-06,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Centre Hospitalier Universitaire Sainte-Justine,D9902,1
2013-08-09,Tissue,Frozen,Not Specified,Non-Malignant,On Therapy,Saint Christopher's Hospital for Children,AREN03B2,2
2014-10-02,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Hospital for Sick Children,AALL1131,20
2000-10-20,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,University of Oklahoma Health Sciences Center,P9851,1
2005-09-20,Serum,Frozen,Blood,Not Specified,On Therapy,Cook Children's Medical Center,AEWS02B1,6
2009-07-05,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Children's Specialty Center of Nevada II,ACNS0331,1
2008-05-29,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,University of Texas Health Science Center at San Antonio,AALL0331,2
2008-02-28,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Texas Tech University Health Science Center-Amarillo,AALL03B1,1
2015-03-16,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Cook Children's Medical Center,AALL0932,2
2011-09-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Children's Hospital of Philadelphia,AALL05B1,13
1999-07-15,Whole Blood,None,Blood,Non-Malignant,Other/Not Specified,University of Oklahoma Health Sciences Center,POG-9047,2
2008-05-14,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Children's National Medical Center,AREN03B2,1
2008-03-04,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Midwest Children's Cancer Center,AALL0331,1
2005-07-21,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Baylor College of Medicine,AALL0232,1
2007-06-01,***,***,Bone Marrow,***,Pre-Therapy,Phoenix Childrens Hospital,AALL0331,1
2013-05-22,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Starship Children's Hospital,AALL08B1,20
2015-03-30,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Phoenix Childrens Hospital,AREN03B2,1
2003-05-27,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Mercy Children's Hospital,P9851,20
2009-02-26,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Wayne State University/Karmanos Cancer Institute,ANBL00B1,1
2008-11-03,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,ANBL00B1,1
2014-03-10,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Lady Cilento Children's Hospital,AALL08B1,1
2008-09-09,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Lurie Children's Hospital-Chicago,D9902,1
2008-12-04,DNA,Frozen,Not Specified,Malignant,Pre-Therapy,Medical University of South Carolina,AREN03B2,1
2011-12-01,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,C S Mott Children's Hospital,AALL08B1,6
2003-10-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Other/Not Specified,Princess Margaret Hospital for Children,CCG-B947,4
2010-12-08,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospitals and Clinics of Minnesota - Minneapolis,ANBL00B1,12
2012-05-22,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Weill Medical College of Cornell University,ACNS02B3,6
2007-12-27,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Helen DeVos Children's Hospital at Spectrum Health,AALL03B1,1
2013-04-25,DNA,Frozen,Not Specified,Not Specified,Pre-Therapy,Lurie Children's Hospital-Chicago,AALL08B1,1
2008-12-09,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital Colorado,ANBL0532,21
2002-02-04,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Other/Not Specified,C S Mott Children's Hospital,CCG-1991,1
2003-11-07,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Kosair Children's Hospital,AEWS0031,2
2012-08-08,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Primary Children's Hospital,AALL0932,3
1999-10-18,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,University of Wisconsin Hospital and Clinics,CCG-5961,7
2014-06-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Rainbow Babies and Childrens Hospital,AALL0932,1
2006-11-29,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,St. Jude Children's Research Hospital,ACNS0423,7
2001-04-12,Biofluid, Other,Frozen,Other,Not Specified,Other/Not Specified,Children's Hospital of Eastern Ontario,POG-9047,1
2002-05-17,Urine,Frozen,Fluid,Not Specified,Pre-Therapy,Bronson Methodist Hospital,CCG-B947,5
2004-06-15,Tissue Slide,Fixed-Formalin,Other,Malignant,Other/Not Specified,Centre Hospitalier Universitaire Sainte-Justine,A3973,36
2012-02-03,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Penn State Hershey Children's Hospital,AALL0932,1
2004-01-15,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,IWK Health Centre,D9802,1
2014-02-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,AEWS1031,20
2003-10-02,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Cedars-Sinai Medical Center,CCG-B947,1
2011-09-28,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Royal Children's Hospital,AALL0932,20
2004-01-27,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Dayton Children's Hospital,CCG-B947,1
1991-07-31,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Seattle Children's Hospital,CCG-E15,1
2010-07-08,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Hurley Medical Center,AREN03B2,7
2007-05-17,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Cleveland Clinic Foundation,AALL0331,1
2014-05-30,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Saint Mary's Hospital,ANBL00B1,1
1996-01-31,Tissue,Fixed-Formalin,Not Specified,Non-Malignant,Other/Not Specified,University of North Carolina at Chapel Hill,CCG-4921,1
2003-06-10,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,The Childrens Mercy Hospital,CCG-B947,2
2013-05-03,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Cook Children's Medical Center,AHOD04B1,1
2004-08-17,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Saint Jude Midwest Affiliate,AOST0121,3
2013-06-21,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Penn State Hershey Children's Hospital,AALL0932,1
1995-05-01,Serum,Frozen,Blood,Not Specified,Other/Not Specified,Scott and White Memorial Hospital,POG-9047,1
2010-10-12,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Lurie Children's Hospital-Chicago,AALL0232,2
2007-08-02,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Children's Hospital of Alabama,D9902,28
2012-02-28,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Morristown Memorial Hospital,AALL1131,2
2014-01-28,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Lady Cilento Children's Hospital,AALL0932,2
2007-04-30,Cell Slide,Fixed-Other,Not Specified,Not Specified,Other/Not Specified,San Jorge Children's Hospital,AAML0531,2
2014-07-30,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Primary Children's Hospital,AALL1131,2
2008-10-28,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Virginia Commonwealth University/Massey Cancer Center,AOST0331,6
2000-04-28,Tissue,Frozen,Adrenal,Malignant,Other/Not Specified,Mattel Children's Hospital UCLA,CCG-B973,1
2007-02-15,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Kaiser Permanente-Oakland,P9851,1
2004-06-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Oklahoma Health Sciences Center,ADVL0821,10
2013-06-06,Tissue Slide,Fixed-Formalin,Not Specified,Metastatic,Pre-Therapy,University of Texas Southwestern Medical Center,ANBL00B1,9
2013-01-28,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Cardinal Glennon Children's Medical Center,AALL08B1,1
