collectionDate,specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,collectionInstitution,CtepStudyID,SpecimenCount
2005-12-21,DNA,Frozen,Not Specified,Not Specified,Pre-Therapy,Nationwide Children's Hospital,AALL0331,3
2012-11-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Starship Children's Hospital,AALL1131,19
2014-01-24,Tissue,Frozen,Not Specified,Non-Malignant,On Therapy,Lucile Packard Children's Hospital Stanford University,AREN03B2,2
2007-07-23,Tissue,Frozen,Not Specified,Malignant,Post-Therapy,Children's Hospital Colorado,ANBL0032,4
2012-06-13,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,IWK Health Centre,ACNS02B3,23
2014-07-25,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,The Steven and Alexandra Cohen Children's Medical Center of New York,AALL1131,2
2012-11-30,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Kaiser Permanente-Oakland,AALL1131,8
2013-01-25,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Kaiser Permanente-Oakland,AALL08B1,2
1995-08-29,Tissue,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Childrens Hospital of Orange County,CCG-B903,2
2009-03-24,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Advocate Children's Hospital-Oak Lawn,AALL0232,1
2008-06-17,Urine,Frozen,Fluid,Not Specified,Other/Not Specified,Memorial Healthcare System - Joe DiMaggio Children's Hospital,AREN03B2,3
2008-11-14,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Saint Joseph's Hospital/Children's Hospital-Tampa,AALL05B1,4
2014-02-11,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Alfred I duPont Hospital for Children,AALL1131,6
2009-07-16,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Driscoll Children's Hospital,ANBL00B1,8
2010-06-28,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Centre Hospitalier Universitaire Sainte-Justine,ACNS02B3,2
2013-06-05,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Yale University,AALL1131,13
2012-11-27,Plasma,Frozen,Blood,Not Specified,Therapeutic Relapse,Mayo Clinic,AOST06B1,4
2013-02-18,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,UMDNJ - Robert Wood Johnson University Hospital,AALL1131,19
1998-02-25,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Dayton Children's Hospital,CCG-5961,2
2010-05-06,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,L V Prasad Eye Institute,ARET0332,12
2008-01-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital of Philadelphia,AALL0331,1
2010-04-23,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Loma Linda University Medical Center,AALL03B1,1
2010-04-22,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Women's and Children's Hospital-Adelaide,ANBL00B1,25
2008-10-17,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Other/Not Specified,Children's Hospital of Philadelphia,AEPI05N1,6
2005-06-29,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,East Tennessee Childrens Hospital,AALL03B1,3
1994-04-18,Whole Blood,None,Blood,Non-Malignant,Other/Not Specified,Wake Forest University Health Sciences,POG-9047,2
2008-03-27,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Weill Medical College of Cornell University,AALL03B1,2
2014-02-28,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,State University of New York Upstate Medical University,AALL1131,1
2010-03-24,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Therapeutic Relapse,Miller Children's and Women's Hospital Long Beach,AALL0232,2
2011-03-31,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Cook Children's Medical Center,AALL0932,1
2004-08-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Cincinnati Children's Hospital Medical Center,ANBL00B1,3
2007-02-06,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Penn State Hershey Children's Hospital,AEWS02B1,12
2004-05-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,New York Medical College,ANBL00B1,20
2004-08-17,Plasma,Frozen,Blood,Not Specified,Other/Not Specified,Lucile Packard Children's Hospital Stanford University,ANBL00B1,2
2004-12-04,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Georgia Regents University Medical Center,A3961,1
2014-08-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,CancerCare Manitoba,AALL0932,1
2013-10-03,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Methodist Children's Hospital of South Texas,AREN03B2,1
2013-04-30,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Memorial Healthcare System - Joe DiMaggio Children's Hospital,AALL1131,3
2012-12-21,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Miller Children's and Women's Hospital Long Beach,AALL1131,8
2012-12-07,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Childrens Hospital of Orange County,AALL08B1,1
2007-06-13,***,***,Bone Marrow,***,Pre-Therapy,Hospital for Sick Children,AALL0331,1
1997-06-05,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Post-Therapy,Primary Children's Hospital,CCG-1952,1
2011-04-28,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Nemours Children's Clinic - Pensacola,AALL0932,1
2012-09-27,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,C S Mott Children's Hospital,AALL08B1,1
2007-01-05,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Hospital for Sick Children,AALL03B1,1
1995-11-13,Urine,Frozen,Fluid,Not Specified,Pre-Therapy,Columbia University Medical Center,CCG-B947,5
2006-06-19,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Saint Joseph's Regional Medical Center,AHOD0031,1
2012-01-10,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Baylor College of Medicine,AALL0433,15
2002-11-29,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital Medical Center of Akron,P9641,17
2011-10-19,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's National Medical Center,AALL0932,7
2009-07-24,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Alabama,AALL05B1,1
2004-02-02,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Riley Hospital for Children,CCG-B947,1
2014-03-19,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Sanford USD Medical Center - Sioux Falls,AALL1131,2
2013-09-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Seattle Children's Hospital,AALL08B1,15
2008-06-02,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,T C Thompson Children's Hospital,ANBL00B1,5
2005-06-03,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Carolinas Medical Center,AALL03B1,20
2013-09-12,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital Colorado,AALL08B1,6
2003-07-01,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,CCG-B947,1
2004-09-21,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Hospital for Sick Children,ANHL0121,1
2005-06-01,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Childrens Hospital-King's Daughters,AHOD0031,13
2014-12-16,Tissue,Frozen,Not Specified,Malignant,On Therapy,Lucile Packard Children's Hospital Stanford University,ABTR01B1,2
2009-06-25,Tissue Slide,Fixed-Formalin,Other,Malignant,Therapeutic Relapse,Nationwide Children's Hospital,AHOD0031,2
2013-02-11,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Winthrop University Hospital,AALL08B1,14
2010-10-25,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Riley Hospital for Children,AALL08B1,2
1999-07-27,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital and Research Center at Oakland,CCG-1961,3
2014-10-01,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Lady Cilento Children's Hospital,AALL08B1,1
2006-07-11,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,Children's Hospital of Pittsburgh of UPMC,D9902,1
2013-02-09,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Women's and Children's Hospital-Adelaide,ACNS0331,3
2012-03-19,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Golisano Children's Hospital of Southwest Florida,AALL08B1,2
2014-05-14,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Vanderbilt-Ingram Cancer Center,ANBL12P1,2
2009-06-09,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Southern California Permanente Medical Group,ANBL0032,1
2010-03-05,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Nationwide Children's Hospital,AALL03B1,1
2011-04-11,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,CancerCare Manitoba,AALL08B1,2
2006-12-21,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Johns Hopkins University/Sidney Kimmel Cancer Center,AALL03B1,2
2014-12-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital Colorado,AALL08B1,2
2013-02-22,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Healthcare of Atlanta - Egleston,AALL08B1,8
2009-02-24,Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,Vanderbilt-Ingram Cancer Center,ASCT0431,3
2014-12-07,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Starship Children's Hospital,AALL0932,4
2006-01-05,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Philadelphia,AALL03B1,2
2013-09-11,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Midwest Children's Cancer Center,AREN03B2,3
2004-10-27,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Saint Joseph's Regional Medical Center,AALL0232,5
2005-09-13,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Alfred I duPont Hospital for Children,AALL03B1,21
2009-05-08,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Women's and Children's Hospital-Adelaide,D9902,1
2007-12-18,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Sinai Hospital of Baltimore,AALL0434,1
2007-03-31,Whole Bone Marrow,Fixed-Formalin,Bone Marrow,Not Specified,Other/Not Specified,C S Mott Children's Hospital,AAML0523,6
2007-08-30,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Arkansas Children's Hospital,AALL03B1,1
2004-02-11,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Children's Hospital of Pittsburgh of UPMC,CCG-B947,1
2006-09-14,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Nemours Children's Clinic-Jacksonville,AALL03B1,1
2009-04-28,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital Medical Center of Akron,ABTR01B1,4
2011-06-20,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Oregon Health and Science University,AALL03B1,2
2013-02-28,RNA,Frozen,Not Specified,Not Specified,On Therapy,Miller Children's and Women's Hospital Long Beach,AALL1131,1
2007-09-12,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Geisinger Medical Center,AALL0232,3
2007-06-15,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,University of Miami Miller School of Medicine-Sylvester Cancer Center,AALL03B1,1
2009-12-15,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,University of Vermont College of Medicine,AGCT0132,6
2007-12-05,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,University of Florida,AALL03B1,6
2012-06-01,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Cardinal Glennon Children's Medical Center,ACNS02B3,7
2013-10-22,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,University of Virginia,AALL08B1,6
2007-10-03,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Riley Hospital for Children,AALL0232,1
2003-11-26,Tissue,Frozen,Other,Malignant,Other/Not Specified,Sutter General Hospital,A3961,1
2007-08-30,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital New Orleans,POG-9900,8
2013-02-21,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Mission Hospital-Memorial Campus,ARST0921,14
2014-08-27,DNA,Frozen,Other,Not Specified,On Therapy,Mercy Children's Hospital,AALL1131,2
2005-07-18,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Nemours Children's Clinic-Jacksonville,AALL0331,2
2011-02-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,University of Kentucky/Markey Cancer Center,AALL08B1,3
2014-05-08,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Kapiolani Medical Center for Women and Children,AALL08B1,1
2007-04-06,Cell Slide,Fixed-Other,Not Specified,Not Specified,Other/Not Specified,Children's Hospital New Orleans,AAML0531,1
2011-08-08,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Dana-Farber Cancer Institute,ANBL0032,14
2011-03-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Roswell Park Cancer Institute,AALL0932,6
2011-06-09,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Swiss Pediatric Oncology Group - Bern,ANBL0532,8
2004-02-09,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospital Colorado,CCG-B947,1
2013-02-21,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Mount Sinai Medical Center,AREN03B2,5
2013-05-09,RNA,Frozen,Bone Marrow,Not Specified,On Therapy,Nemours Children's Clinic-Jacksonville,AALL1131,1
2010-04-20,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Loma Linda University Medical Center,AALL03B1,2
2004-09-16,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Yale University,ANBL00B1,1
2011-07-12,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Oregon Health and Science University,AALL0434,1
2004-06-16,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,University of Iowa/Holden Comprehensive Cancer Center,ANBL00B1,22
2012-04-17,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Kaiser Permanente-Oakland,ABTR01B1,12
2014-10-14,Plasma,Frozen,Blood,Not Specified,Pre-Therapy,Starship Children's Hospital,AOST06B1,2
2009-06-30,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Baptist Hospital of Miami,AALL03B1,1
2009-08-31,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,CancerCare Manitoba,AALL03B1,16
2012-01-09,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Lady Cilento Children's Hospital,AALL08B1,1
2009-06-16,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Lurie Children's Hospital-Chicago,AREN03B2,1
2011-04-08,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,The University of Arizona Medical Center-University Campus,AREN03B2,2
2013-04-26,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of North Carolina at Chapel Hill,AALL1131,1
1998-05-11,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Oregon Health and Science University,CCG-1961,4
2004-09-29,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Nationwide Children's Hospital,AALL0232,2
2012-12-31,Serum,Frozen,Blood,Not Specified,Pre-Therapy,Children's Hospital Colorado,ABTR01B1,2
2006-05-04,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,University of North Carolina at Chapel Hill,AALL0331,4
2009-10-21,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Children's Hospital and Research Center at Oakland,ANBL00B1,6
2010-08-31,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Seattle Children's Hospital,AALL03B1,1
2007-05-24,Cell Slide,Fixed-Other,Not Specified,Not Specified,Other/Not Specified,Children's Hospital of Philadelphia,AAML0531,2
2011-11-11,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Children's Hospital Colorado,AALL0232,1
2005-05-27,Tissue,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Childrens Hospital-King's Daughters,AHOD0031,2
2000-03-14,DNA,Frozen,Not Specified,Non-Malignant,On Therapy,Oregon Health and Science University,CCG-B947,1
2013-02-20,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Duke University Medical Center,AALL0932,5
2000-11-02,Whole Blood,None,Blood,Non-Malignant,Other/Not Specified,Massachusetts General Hospital Cancer Center,P9851,1
2013-02-05,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,IWK Health Centre,AALL0932,1
2006-05-08,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Swiss Pediatric Oncology Group - Bern,AALL03B1,4
2011-02-14,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,British Columbia Children's Hospital,AALL08B1,2
1997-03-17,Serum,Frozen,Blood,Not Specified,Other/Not Specified,University of Wisconsin Hospital and Clinics,CCG-5961,1
2014-12-29,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Winthrop University Hospital,AALL1131,1
2015-04-03,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Sanford USD Medical Center - Sioux Falls,AALL08B1,1
2004-08-12,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Cleveland Clinic Foundation,CCG-B947,2
2013-06-24,Tissue Slide,Fixed-Other,Not Specified,Malignant,Pre-Therapy,Lady Cilento Children's Hospital,AREN03B2,1
2011-11-25,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Pittsburgh of UPMC,AALL08B1,1
2008-03-04,DNA,Frozen,Bone Marrow,Not Specified,Therapeutic Relapse,Children's Hospitals and Clinics of Minnesota - Minneapolis,AALL03B1,2
2013-04-18,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,The Childrens Mercy Hospital,ACNS02B3,4
2010-01-04,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Pre-Therapy,Miller Children's and Women's Hospital Long Beach,ACNS0331,4
2012-07-13,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Wake Forest University Health Sciences,AALL08B1,1
2015-02-06,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Columbia Regional,AALL0932,1
2007-11-20,Whole Bone Marrow,Fixed-Formalin,Not Specified,Not Specified,Other/Not Specified,UMDNJ - Robert Wood Johnson University Hospital,AAML0531,1
1995-04-28,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Quain and Ramstad Clinic,CCG-B944,2
2014-11-04,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Royal Children's Hospital,AALL08B1,2
2009-12-08,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Mount Sinai Medical Center,AALL07P1,14
2011-09-28,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Royal Children's Hospital,AALL08B1,20
2014-04-23,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Hurley Medical Center,AALL08B1,1
2011-04-22,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Women's and Children's Hospital-Adelaide,D9902,1
2009-01-21,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Therapeutic Relapse,Children's Hospital and Research Center at Oakland,AALL0232,1
2013-02-06,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,University of New Mexico,AALL08B1,18
2002-03-06,Tissue,Frozen,Not Specified,Malignant,Pre-Therapy,Saint Jude Midwest Affiliate,D9902,1
2010-02-05,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospital Colorado,AALL0331,7
2014-07-21,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,University of New Mexico,AALL08B1,20
2011-05-19,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Childrens Hospital of Orange County,AALL0932,3
2008-12-23,Whole Bone Marrow,Fixed-Formalin,Bone Marrow,Not Specified,Other/Not Specified,Children's Hospital of Eastern Ontario,ANBL0532,24
2007-04-23,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Memorial Healthcare System - Joe DiMaggio Children's Hospital,AALL03B1,1
2001-12-26,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Other/Not Specified,Phoenix Childrens Hospital,CCG-2961,1
2012-07-02,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,University of Kentucky/Markey Cancer Center,AALL0434,4
2007-07-28,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Oregon Health and Science University,AALL03B1,2
2001-01-31,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,University of New Mexico,POG-9047,2
2007-12-28,***,***,Not Specified,***,Pre-Therapy,Miller Children's and Women's Hospital Long Beach,AALL0331,1
2013-05-31,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Kapiolani Medical Center for Women and Children,AALL08B1,1
2004-10-12,Tissue,Frozen,Not Specified,Malignant,Other/Not Specified,Memorial University Medical Center,ANBL00B1,1
1993-06-14,Tissue,Frozen,Other,Malignant,Other/Not Specified,University of Rochester,POG-9047,1
2011-10-31,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Washington University School of Medicine,ANBL0532,8
2014-08-01,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Christchurch Hospital,AALL0932,2
2003-07-17,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Childrens Hospital of Orange County,CCG-1991,2
2012-02-14,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Children's Hospitals and Clinics of Minnesota - Minneapolis,AALL0932,3
