specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,CtepStudyID,CollectionProtocolStatus,ProtocolCategory,SpecimenCount
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,ANBL00P3,Complete,Neuroblastoma,3
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,CCG-1991,Complete,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Fluid,Not Specified,On Therapy,CCG-B947,Complete,Unknown/Unspecified,2
"Biofluid, Other",Frozen,Fluid,Not Specified,Post-Therapy,ANBL00B1,Active,Neuroblastoma,38
"Biofluid, Other",Frozen,Fluid,Not Specified,Post-Therapy,ANBL00P3,Complete,Neuroblastoma,38
"Biofluid, Other",Frozen,Fluid,Not Specified,Post-Therapy,ANBL0532,Temporarily Closed To Accrual,Neuroblastoma,4
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,A3961,Complete,Neuroblastoma,2
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,2
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,125
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,ANBL00P3,Complete,Neuroblastoma,122
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,ANBL0532,Temporarily Closed To Accrual,Neuroblastoma,4
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,ANHL04B1,Active,Non-Hodgkin Lymphoma,2
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,ASCT0431,Complete,Stem Cell Transplantation,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,CCG-1991,Complete,Acute Lymphoblastic Leukemia,8
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,CCG-5941,Complete,Non-Hodgkin Lymphoma,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,CCG-99703,Complete,Central Nervous System Tumors,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,CCG-B944,Complete,Hodgkin Disease,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,10
"Biofluid, Other",Frozen,Fluid,Not Specified,Therapeutic Relapse,ABTR01B1,Active,Biopathology and Translational Research,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Therapeutic Relapse,CCG-1961,Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Therapeutic Relapse,CCG-1962,Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Fluid,Not Specified,Therapeutic Relapse,CCG-1991,Complete,Acute Lymphoblastic Leukemia,6
"Biofluid, Other",Frozen,Fluid,Not Specified,Therapeutic Relapse,CCG-B947,Complete,Unknown/Unspecified,5
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,4
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,8
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,16
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL07P4,Closed To Accrual,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,4
"Biofluid, Other",Frozen,Other,Not Specified,On Therapy,AALL0932,Active,Acute Lymphoblastic Leukemia,5
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,A3961,Complete,Neuroblastoma,15
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,A5971,Complete,Non-Hodgkin Lymphoma,12
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,73
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AALL03B1,Complete,Acute Lymphoblastic Leukemia,78
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,4
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AALL06N1,Active,Acute Lymphoblastic Leukemia,77
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AB9804,Closed To Accrual,Ewing Sarcoma,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,37
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ABTR04B1,Active,Biopathology and Translational Research,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ACNS02B3,Active,Central Nervous System Tumors,4
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ACNS0331,Active,Central Nervous System Tumors,2
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AEWS02B1,Complete,Ewing Sarcoma,7
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AEWS0331,Closed To Accrual,Ewing Sarcoma,10
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AEWS07B1,Active,Ewing Sarcoma,4
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AHOD0031,Complete,Hodgkin Disease,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AHOD03P1,Closed To Accrual And Intervention,Hodgkin Disease,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AHOD0431,Complete,Hodgkin Disease,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AHOD04B1,Closed To Accrual,Hodgkin Disease,2
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ANBL00B1,Active,Neuroblastoma,17
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ANBL0421,Complete,Neuroblastoma,3
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ANHL0131,Complete,Non-Hodgkin Lymphoma,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ANHL01P1,Complete,Non-Hodgkin Lymphoma,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AOST0331,Closed To Accrual And Intervention,Osteosarcoma,18
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AOST06B1,Active,Osteosarcoma,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,AREN03B2,Active,Renal Tumors,11
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,ARET0332,Complete,Retinoblastoma,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-104,Complete,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-134P,Complete,Acute Lymphoblastic Leukemia,4
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-1882,Complete,Acute Lymphoblastic Leukemia,7
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-1952,Complete,Acute Lymphoblastic Leukemia,4
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-1961,Complete,Acute Lymphoblastic Leukemia,3
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-1991,Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-99701,Complete,Central Nervous System Tumors,1
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,40
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,CCG-B973,Complete,Non-Hodgkin Lymphoma,2
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,D9502,Complete,Soft Tissue Sarcoma,9
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,D9802,Complete,Soft Tissue Sarcoma,4
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,D9902,Active,Soft Tissue Sarcoma,12
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,P9641,Complete,Neuroblastoma,34
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,P9754,Complete,Osteosarcoma,5
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,P9851,Complete,Osteosarcoma,11
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,POG-9047,Complete,Non-Hodgkin Lymphoma,402
"Biofluid, Other",Frozen,Other,Not Specified,Other/Not Specified,POG-9900,Complete,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",Frozen,Other,Not Specified,Post-Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,3
"Biofluid, Other",Frozen,Other,Not Specified,Post-Therapy,AALL0932,Active,Acute Lymphoblastic Leukemia,3
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,39
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,38
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,80
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL0433,Closed To Accrual,Acute Lymphoblastic Leukemia,8
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,44
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL0631,Closed To Accrual,Acute Lymphoblastic Leukemia,24
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL06N1,Active,Acute Lymphoblastic Leukemia,17
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL07P2,Complete,Acute Lymphoblastic Leukemia,20
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,102
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL0932,Active,Acute Lymphoblastic Leukemia,6
"Biofluid, Other",Frozen,Other,Not Specified,Pre-Therapy,AALL1131,Active,Acute Lymphoblastic Leukemia,35
"Biofluid, Other",None,Fluid,Not Specified,Pre-Therapy,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,3
"Biofluid, Other",None,Fluid,Not Specified,Pre-Therapy,AALL02P2,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,1
"Biofluid, Other",None,Fluid,Not Specified,Pre-Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,3
"Biofluid, Other",None,Fluid,Not Specified,Pre-Therapy,CCG-1991,Complete,Acute Lymphoblastic Leukemia,5
"Biofluid, Other",None,Fluid,Not Specified,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,6
"Biofluid, Other",None,Not Specified,Not Specified,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,4
"Biofluid, Other",None,Other,Not Specified,Pre-Therapy,CCG-1991,Complete,Acute Lymphoblastic Leukemia,2
"Biofluid, Other",None,Other,Not Specified,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,4
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,A2971,Complete,Acute Myeloid Leukemia,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,A3961,Complete,Neuroblastoma,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,A3973,Complete,Neuroblastoma,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,A5962,Administratively Complete,Hodgkin Disease,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0031,Complete,Acute Lymphoblastic Leukemia,59
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL00P2,Complete,Acute Lymphoblastic Leukemia,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL01B1,Administratively Complete,Acute Lymphoblastic Leukemia,4
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,746
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL02P2,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,12
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,1197
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,2503
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0433,Closed To Accrual,Acute Lymphoblastic Leukemia,143
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,526
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL05B1,Active,Acute Lymphoblastic Leukemia,545
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0622,Closed To Accrual,Acute Lymphoblastic Leukemia,97
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0631,Closed To Accrual,Acute Lymphoblastic Leukemia,14
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL06N1,Active,Acute Lymphoblastic Leukemia,14
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL07P1,Complete,Acute Lymphoblastic Leukemia,65
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL07P2,Complete,Acute Lymphoblastic Leukemia,5
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL07P4,Closed To Accrual,Acute Lymphoblastic Leukemia,192
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,2552
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL08P1,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,24
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL0932,Active,Acute Lymphoblastic Leukemia,1976
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL1131,Active,Acute Lymphoblastic Leukemia,357
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AALL1231,Active,Acute Lymphoblastic Leukemia,14
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AAML0523,Complete,Acute Myeloid Leukemia,25
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AAML0531,Complete,Acute Myeloid Leukemia,73
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AAML1031,Active,Acute Myeloid Leukemia,3
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ABTR01B1,Active,Biopathology and Translational Research,6
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ABTR04B1,Active,Biopathology and Translational Research,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ABTR06C1,Complete,Biopathology and Translational Research,4
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ACCL1131,Active,Cancer Control,8
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ACNS02B3,Active,Central Nervous System Tumors,9
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ACNS0822,Closed To Accrual,Central Nervous System Tumors,5
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ACNS0831,Active,Central Nervous System Tumors,28
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ADVL1221,Closed To Accrual And Intervention,Experimental Therapeutics,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AE22,Complete,Epidemiology,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AEWS0331,Closed To Accrual,Ewing Sarcoma,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AEWS07B1,Active,Ewing Sarcoma,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AHOD0031,Complete,Hodgkin Disease,72
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AHOD00P1,Complete,Hodgkin Disease,3
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AHOD03P1,Closed To Accrual And Intervention,Hodgkin Disease,7
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,782
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AHOD1221,Active,Hodgkin Disease,67
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AHOD1331,Active,Hodgkin Disease,13
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ANBL0032,Active,Neuroblastoma,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ANBL00B1,Active,Neuroblastoma,48
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ANBL00P3,Complete,Neuroblastoma,39
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ANHL04B1,Active,Non-Hodgkin Lymphoma,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ARAR0331,Closed To Accrual And Intervention,Rare Tumors,40
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,AREN03B2,Active,Renal Tumors,428
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ARST0331,Complete,Soft Tissue Sarcoma,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ARST0332,Complete,Soft Tissue Sarcoma,10
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ARST0531,Complete,Soft Tissue Sarcoma,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ARST08P1,Complete,Soft Tissue Sarcoma,6
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ARST0921,Closed To Accrual And Intervention,Soft Tissue Sarcoma,7
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ASCT0431,Complete,Stem Cell Transplantation,2242
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ASCT0631,Complete,Stem Cell Transplantation,110
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,ASCT1221,Active,Stem Cell Transplantation,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1901,Complete,Acute Lymphoblastic Leukemia,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1922,Complete,Unknown/Unspecified,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1941,Complete,Acute Lymphoblastic Leukemia,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1951,Complete,Acute Lymphoblastic Leukemia,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1952,Complete,Acute Lymphoblastic Leukemia,14
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1961,Complete,Acute Lymphoblastic Leukemia,10
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-1991,Complete,Acute Lymphoblastic Leukemia,44
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-5942,Complete,Hodgkin Disease,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-B947,Complete,Unknown/Unspecified,82
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-B957,Complete,Acute Lymphoblastic Leukemia,10
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,CCG-E15,Complete,Acute Lymphoblastic Leukemia,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,D9902,Active,Soft Tissue Sarcoma,155
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,P9407,Complete,Acute Lymphoblastic Leukemia,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,P9749,Complete,Germ Cell Tumor,12
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,POG-9047,Complete,Non-Hodgkin Lymphoma,7
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,POG-9900,Complete,Acute Lymphoblastic Leukemia,146
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,POG-9904,Complete,Acute Lymphoblastic Leukemia,54
Buffy Coat,Cryopreserved,Blood,Non-Malignant,On Therapy,POG-9905,Complete,Acute Lymphoblastic Leukemia,71
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,A2971,Complete,Acute Myeloid Leukemia,11
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,A3961,Complete,Neuroblastoma,151
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,A3973,Complete,Neuroblastoma,51
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,A5971,Complete,Non-Hodgkin Lymphoma,7
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,A9952,Complete,Central Nervous System Tumors,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,A9961,Complete,Central Nervous System Tumors,21
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0031,Complete,Acute Lymphoblastic Leukemia,6
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL00P2,Complete,Acute Lymphoblastic Leukemia,8
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL01P2,Complete,Acute Lymphoblastic Leukemia,9
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,24
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL02P2,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,4
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,13
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL03B1,Complete,Acute Lymphoblastic Leukemia,78
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0433,Closed To Accrual,Acute Lymphoblastic Leukemia,14
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,25
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL05B1,Active,Acute Lymphoblastic Leukemia,31
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0622,Closed To Accrual,Acute Lymphoblastic Leukemia,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0631,Closed To Accrual,Acute Lymphoblastic Leukemia,2
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL07P1,Complete,Acute Lymphoblastic Leukemia,3
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL07P4,Closed To Accrual,Acute Lymphoblastic Leukemia,1
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL08B1,Active,Acute Lymphoblastic Leukemia,62
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL08P1,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,5
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL0932,Active,Acute Lymphoblastic Leukemia,34
Buffy Coat,Cryopreserved,Blood,Non-Malignant,Other/Not Specified,AALL1131,Active,Acute Lymphoblastic Leukemia,10
