specimenBiophysicalType	preservationType	fmaAnatomicSourceLocation	pathologicalStatus	diseaseStatus	CtepStudyID	CollectionProtocolStatus	ProtocolCategory	Race	SpecimenCount
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AB9804	Closed To Accrual	Ewing Sarcoma	Asian Indian, Pakistani	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AB9804	Closed To Accrual	Ewing Sarcoma	Black	52
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AB9804	Closed To Accrual	Ewing Sarcoma	Other	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AB9804	Closed To Accrual	Ewing Sarcoma	Unknown	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AB9804	Closed To Accrual	Ewing Sarcoma	White	418
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	American Indian, Aleutian	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Asian Indian, Pakistani	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Black	148
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Chinese	12
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Fiji Islander	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Guamanian, NOS	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Hawaiian	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Laotian	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Other	128
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Other Asian	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Pacific Islander, NOS	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Samoan	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Thai	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Unknown	101
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	Vietnamese	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR01B1	Active	Biopathology and Translational Research	White	818
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR04B1	Active	Biopathology and Translational Research	Black	31
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR04B1	Active	Biopathology and Translational Research	Other	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR04B1	Active	Biopathology and Translational Research	Unknown	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR04B1	Active	Biopathology and Translational Research	White	71
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ABTR06C1	Complete	Biopathology and Translational Research	Unknown	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ACNS0121	Complete	Central Nervous System Tumors	Unknown	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ACNS0121	Complete	Central Nervous System Tumors	White	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ACNS02B3	Active	Central Nervous System Tumors	Chinese	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ACNS02B3	Active	Central Nervous System Tumors	White	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ACNS0332	Temporarily Closed To Accrual	Central Nervous System Tumors	White	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ACNS0423	Complete	Central Nervous System Tumors	Black	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0122	Closed To Accrual	Experimental Therapeutics	Samoan	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0122	Closed To Accrual	Experimental Therapeutics	White	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0813	Complete	Experimental Therapeutics	Vietnamese	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0813	Complete	Experimental Therapeutics	White	15
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	American Indian, Aleutian	12
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	Black	80
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	Chinese	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	Japanese	8
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	Other	37
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	Other Asian	11
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	Unknown	54
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL0821	Complete	Experimental Therapeutics	White	442
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL1121	Complete	Experimental Therapeutics	Black	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL1121	Complete	Experimental Therapeutics	White	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL1221	Closed To Accrual And Intervention	Experimental Therapeutics	Black	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL1221	Closed To Accrual And Intervention	Experimental Therapeutics	Other	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ADVL1221	Closed To Accrual And Intervention	Experimental Therapeutics	White	13
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AE22	Complete	Epidemiology	Pacific Islander, NOS	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AE22	Complete	Epidemiology	Unknown	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AE22	Complete	Epidemiology	White	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEPI05N1	Closed To Accrual	Epidemiology	White	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	American Indian, Aleutian	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Asian Indian, Pakistani	16
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Black	31
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Fiji Islander	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Korean	13
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Other	54
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Other Asian	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Pacific Islander, NOS	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Samoan	9
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	Unknown	34
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0031	Complete	Ewing Sarcoma	White	1019
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	American Indian, Aleutian	19
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Asian Indian, Pakistani	35
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Black	105
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Chinese	12
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Filipino	21
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Hawaiian	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Korean	21
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Other	169
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Other Asian	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Pacific Islander, NOS	27
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Samoan	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Unknown	137
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	Vietnamese	9
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02B1	Complete	Ewing Sarcoma	White	3116
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02P1	Complete	Ewing Sarcoma	American Indian, Aleutian	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02P1	Complete	Ewing Sarcoma	Unknown	88
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS02P1	Complete	Ewing Sarcoma	White	289
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0331	Closed To Accrual	Ewing Sarcoma	Black	8
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0331	Closed To Accrual	Ewing Sarcoma	Hawaiian	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0331	Closed To Accrual	Ewing Sarcoma	Other	9
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0331	Closed To Accrual	Ewing Sarcoma	Unknown	11
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0331	Closed To Accrual	Ewing Sarcoma	White	330
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS0621	Complete	Ewing Sarcoma	White	9
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	Asian Indian, Pakistani	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	Black	15
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	Other	79
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	Other Asian	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	Pacific Islander, NOS	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	Unknown	55
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS07B1	Active	Ewing Sarcoma	White	787
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS1031	Active	Ewing Sarcoma	Unknown	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AEWS1031	Active	Ewing Sarcoma	White	44
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Asian Indian, Pakistani	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Black	19
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Chinese	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Filipino	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Hawaiian	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Korean	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Micronesian NOS	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Other	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Other Asian	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	Unknown	16
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0132	Complete	Germ Cell Tumor	White	265
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT01P1	Complete	Germ Cell Tumor	Other Asian	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT01P1	Complete	Germ Cell Tumor	White	21
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0521	Complete	Germ Cell Tumor	Vietnamese	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AGCT0521	Complete	Germ Cell Tumor	White	32
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	American Indian, Aleutian	35
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Asian Indian, Pakistani	245
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Black	1827
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Chinese	46
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Filipino	105
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Hawaiian	18
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Kampuchean	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Korean	29
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Micronesian NOS	11
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Other	759
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Other Asian	49
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Samoan	16
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Unknown	472
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	Vietnamese	25
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0031	Complete	Hodgkin Disease	White	13638
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD00P1	Complete	Hodgkin Disease	Black	26
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD00P1	Complete	Hodgkin Disease	Chinese	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD00P1	Complete	Hodgkin Disease	Other	12
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD00P1	Complete	Hodgkin Disease	White	208
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0121	Complete	Hodgkin Disease	Chinese	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0121	Complete	Hodgkin Disease	Other	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0121	Complete	Hodgkin Disease	Unknown	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0121	Complete	Hodgkin Disease	White	62
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0321	Complete	Hodgkin Disease	Black	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0321	Complete	Hodgkin Disease	Other	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0321	Complete	Hodgkin Disease	White	110
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Asian Indian, Pakistani	13
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Black	109
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Chinese	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Filipino	15
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Other	59
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Other Asian	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Samoan	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	Unknown	39
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD03P1	Closed To Accrual And Intervention	Hodgkin Disease	White	853
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	American Indian, Aleutian	23
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	Asian Indian, Pakistani	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	Black	199
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	Other	41
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	Other Asian	13
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	Unknown	60
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0431	Complete	Hodgkin Disease	White	794
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	American Indian, Aleutian	68
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Asian Indian, Pakistani	139
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Black	879
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Chinese	27
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Filipino	33
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Other	330
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Other Asian	51
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Samoan	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Tongan	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Unknown	375
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	Vietnamese	21
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD04B1	Closed To Accrual	Hodgkin Disease	White	6286
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0521	Complete	Hodgkin Disease	Black	30
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0521	Complete	Hodgkin Disease	Other	46
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0521	Complete	Hodgkin Disease	Other Asian	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	AHOD0521	Complete	Hodgkin Disease	White	178
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	Asian Indian, Pakistani	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	Black	9
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	Filipino	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	Hawaiian	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	Other	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	Unknown	8
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0032	Active	Neuroblastoma	White	211
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Unknown/Unspecified	119
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	American Indian, Aleutian	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Asian Indian, Pakistani	34
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Black	208
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Chinese	13
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Filipino	18
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Hawaiian	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Korean	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Other	95
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Other Asian	11
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Pacific Islander, NOS	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Unknown	107
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	Vietnamese	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL00B1	Active	Neuroblastoma	White	1595
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0321	Complete	Neuroblastoma	White	6
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0421	Complete	Neuroblastoma	Asian Indian, Pakistani	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0421	Complete	Neuroblastoma	Black	44
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0421	Complete	Neuroblastoma	Hawaiian	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0421	Complete	Neuroblastoma	Other	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0421	Complete	Neuroblastoma	Unknown	18
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0421	Complete	Neuroblastoma	White	192
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0532	Temporarily Closed To Accrual	Neuroblastoma	Unknown	3
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL0532	Temporarily Closed To Accrual	Neuroblastoma	White	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL1021	Complete	Neuroblastoma	Black	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL1021	Complete	Neuroblastoma	White	10
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANBL12P1	Closed To Accrual	Neuroblastoma	Unknown	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0121	Administratively Complete	Non-Hodgkin Lymphoma	Asian Indian, Pakistani	1
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0121	Administratively Complete	Non-Hodgkin Lymphoma	Black	2
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0121	Administratively Complete	Non-Hodgkin Lymphoma	Korean	5
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0121	Administratively Complete	Non-Hodgkin Lymphoma	Other	4
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0121	Administratively Complete	Non-Hodgkin Lymphoma	White	7
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0131	Complete	Non-Hodgkin Lymphoma	Black	325
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0131	Complete	Non-Hodgkin Lymphoma	Chinese	74
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0131	Complete	Non-Hodgkin Lymphoma	Other	110
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0131	Complete	Non-Hodgkin Lymphoma	Other Asian	82
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0131	Complete	Non-Hodgkin Lymphoma	Unknown	103
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL0131	Complete	Non-Hodgkin Lymphoma	White	2554
Serum	Frozen	Blood	Not Specified	Other/Not Specified	ANHL01P1	Complete	Non-Hodgkin Lymphoma	Asian Indian, Pakistani	14
